Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
https,cutt.ly,/HSgb8Fr,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https,www.meta-trx.com,/,0,0,0,0,1,0,1,2,1,0,1,2,0,1
http,weplay-pray4ua.com,,0,0,0,0,1,0,0,1,1,0,1,0,0,1
https,clubeliveloprime.me,,0,0,0,0,0,0,0,1,1,0,0,0,0,1
http,kalinolson.com,,0,0,0,0,0,0,0,1,2,0,1,2,0,1
https,autocarcancun.com,/outlook.office.com/,0,0,0,0,0,2,0,2,1,0,0,0,0,1
https,webbbb.yolasite.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,sme-elec.com,/wp-content/firma,0,0,0,0,1,0,0,2,1,0,0,0,0,1
https,backend.coinsdtwde.top,/,0,0,0,0,0,0,0,1,2,0,0,0,0,1
https,ikpumariana25.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,mon-token.com,/wp-content/themes/10/Visa.co.jp/0fa2e8a4ec26f1de3936eb6a3fadd63e/access.php,0,1,0,0,1,1,0,1,2,0,0,2,0,1
https,liveappealforms.org,/forms/contact/main/stocazzo,0,2,0,0,0,0,0,1,2,0,1,2,0,1
https,uploads.codesandbox.io,/uploads/user/05f89058-061c-48b2-856d-a88922dc294e/5r8g-index.html,0,1,0,0,0,2,0,0,0,0,0,0,0,1
https,kissapps.io,/Delivery/Package/pay/,0,0,0,0,0,0,0,2,1,0,0,2,0,1
https,recoverphrase34.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,recoverphrase54.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,recoverphrase115.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,www.defiklngdomes-game.com,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,web-b4119.web.app,//,0,0,1,1,1,2,0,1,1,0,0,0,0,1
https,04-spk-updates.net,/de/Kontrolle/spark,0,0,0,0,1,0,0,1,1,0,1,0,0,1
https,verifybydomiain5.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
http,o2-updatebillingvia.com,/Login,0,0,0,0,1,0,0,1,2,0,0,2,0,1
http,stolizaparketa.ru,/wp-content/themes/twentyfifteen/css/read/chinavali/index.php,0,1,1,0,0,2,0,1,1,0,0,0,0,1
http,ftx2020.com,,0,0,0,0,0,0,0,1,1,0,1,0,0,1
http,cltjamais.com.br,/wp-content/online/iono.html,0,0,0,0,0,2,0,1,1,0,0,0,0,1
https,mintsolanadrop.com,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,connecti-auonepay-jp.wnrda2vm.cn,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
http,catalogue-orange.com,/index.html,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,c.curiousmorty.be,/19962/117068,0,1,0,0,0,0,0,2,1,0,0,1,0,1
http,clouddoc-authorize.firebaseapp.com,/.xx./xx,0,0,0,0,1,1,0,2,1,1,0,1,0,1
https,cvdv.efdcrrd.cn,,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,collab-land.net,/,0,0,0,0,1,0,0,1,1,0,0,2,0,1
http,saritapariyar.com.np,/Daniel,0,0,0,0,0,0,0,1,1,0,0,1,0,1
http,contapessoal.digital,,0,0,0,0,0,0,0,1,2,0,0,2,0,1
https,www.ana.co.jp.raxeiqe.cn,/,0,0,0,0,0,1,0,1,1,0,0,0,0,1
http,a.dab342ab8887461995aad393cb294948a5ce800ca279cd1027026d47.com,/signin,0,1,0,0,0,0,0,1,2,0,0,2,0,1
https,ptpnxiv.com,/owa.summary/aspx1.php,0,1,0,0,0,1,0,2,1,0,0,0,1,1
https,han.gl,/FMjIu,0,0,0,0,0,0,0,2,1,0,0,1,0,1
https,app.box.com,/s/ymr0ltw3hmn8icxebz16gjhcyhqa49w4,0,2,0,0,0,0,1,0,2,0,0,2,0,1
https,login-micro-drive-file-folder.web.app,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
